,,,,,,,,,,,,,,,,
,5488,2023-05-06 22:28:08,JUST,JST,0.02,217000364,0.02,8902080000,False,9946063,-0.01,-1.99,-6.7,-11.74,-7.13,-12.06
,5665,2023-05-06 22:28:08,Helium,HNT,1.49,213884759,0.02,143934820.83030766,False,1216659,-0.23,-4.98,-18.08,6.91,-34.74,-47.04
,12999,2023-05-06 22:28:08,ssv.network,SSV,21.19,211904049,0.02,10000000,False,59150652,-0.27,-20.33,-20.65,-45.5,-45.61,-15.59
,4679,2023-05-06 22:28:08,Band Protocol,BAND,1.66,207737260,0.02,125335687.093041,False,6414248,0.04,-3.27,-4.33,-8.81,0.26,-21.4
,3911,2023-05-06 22:28:08,Ocean Protocol,OCEAN,0.34,207232731,0.02,613099140.9978136,False,11799097,0.14,-5.93,-11.49,-5.03,-8.38,-23.47
,1042,2023-05-06 22:28:08,Siacoin,SC,0.0,205442861,0.02,54065302991,False,3079828,0.08,-1.69,-8.53,-12.54,2.32,1.96
,1896,2023-05-06 22:28:08,0x Protocol,ZRX,0.24,204550461,0.02,847496054.8027713,False,15210184,-0.13,-4.53,-7.94,-19.94,5.35,-2.98
,6836,2023-05-06 22:28:08,Moonbeam,GLMR,0.32,202283645,0.02,628587075,False,3264327,0.11,-3.72,-9.4,-15.19,-16.81,-29.68
,1274,2023-05-06 22:28:08,Waves,WAVES,1.81,201308033,0.02,111352486,False,30699422,0.06,-4.35,-6.68,-13.56,-18.77,-31.83
,5647,2023-05-06 22:28:08,Kadena,KDA,0.87,199855900,0.02,230721079.6013,False,4894597,0.52,-3.63,-6.19,-11.25,-15.26,-26.66
,2566,2023-05-06 22:28:08,Ontology,ONT,0.23,197266326,0.02,875249524,False,9612421,-0.0,-3.9,-7.18,-24.87,4.89,-1.21
,5370,2023-05-06 22:28:08,Hive,HIVE,0.4,192100562,0.02,478130396.225,False,2944254,0.58,-1.9,-2.61,-7.19,4.19,-14.81
,11865,2023-05-06 22:28:08,Bone ShibaSwap,BONE,0.83,191185691,0.02,229923350.6228802,False,10566067,2.0,-7.7,-18.62,-22.98,-48.49,-53.31
,2405,2023-05-06 22:28:08,IOST,IOST,0.01,190280244,0.02,18708894189,False,9449788,-0.03,-3.99,-5.68,-10.53,2.16,-5.14
,2300,2023-05-06 22:28:08,WAX,WAXP,0.06,189510914,0.02,2970519165.244642,False,2521548,0.07,-3.29,-7.17,-13.46,-4.76,-14.33
,2299,2023-05-06 22:28:08,aelf,ELF,0.29,180509431,0.02,612042322.40919,False,5639603,-0.11,-3.62,0.1,-8.58,8.08,52.91
,3964,2023-05-06 22:28:08,Reserve Rights,RSR,0.0,177873441,0.01,50600000000,False,3999907,-0.06,-6.08,-8.74,-21.6,-13.04,-14.98
,7129,2023-05-06 22:28:08,TerraClassicUSD,USTC,0.02,175936968,0.01,9797649601.146421,False,13117630,0.07,-5.99,-15.19,-16.09,-23.74,-44.79
,9543,2023-05-06 22:28:08,Biconomy,BICO,0.33,175816698,0.01,534574049.6825,False,3643461,0.01,-4.98,-13.47,-14.44,-13.95,-13.86
,3801,2023-05-06 22:28:08,BORA,BORA,0.17,169086960,0.01,993750000,False,1420703,-0.18,-1.87,-4.73,-17.12,-6.99,-15.11
,5617,2023-05-06 22:28:08,UMA,UMA,2.37,168355696,0.01,71176249.4331841,False,87480153,-0.11,-19.01,20.24,14.77,20.36,13.85
,6958,2023-05-06 22:28:08,Alchemy Pay,ACH,0.03,168233989,0.01,6181078515.72812,False,23109868,0.23,-9.24,-16.95,-31.89,-6.44,40.38
,23635,2023-05-06 22:28:08,BinaryX,BNX,0.58,166565147,0.01,289119100,False,8954134,-0.14,-6.88,-4.01,2.15,-18.18,-58.91
,7878,2023-05-06 22:28:08,MobileCoin,MOB,0.84,163977887,0.01,195286109,False,2531308,0.86,-11.21,-23.9,-40.23,-47.66,-42.1
,8119,2023-05-06 22:28:08,SafePal,SFP,0.44,162252544,0.01,369666536.3357306,False,4722745,0.02,-0.8,-0.94,-9.68,-0.63,-21.37
,21846,2023-05-06 22:28:08,SPACE ID,ID,0.53,161789492,0.01,304486111,False,112727097,0.19,-5.57,-20.18,18.43,-11.32,-11.32
,3029,2023-05-06 22:28:08,Flux,FLUX,0.54,160702610,0.01,295861545.09931874,False,11749567,0.32,-4.84,-8.89,-14.79,-18.16,-40.25
,6843,2023-05-06 22:28:08,Radicle,RAD,3.22,160224015,0.01,49829110.56634565,False,143584564,1.49,-5.87,49.45,76.49,90.17,69.79
,5691,2023-05-06 22:28:08,SKALE,SKL,0.04,160018021,0.01,4509352671,False,5580788,-0.08,-7.0,-10.04,-13.42,-11.58,-6.82
,24613,2023-05-06 22:28:08,Open Campus,EDU,1.08,157076902,0.01,145117469.9,False,60210523,-0.01,-8.55,-21.49,4.09,4.09,4.09
,3814,2023-05-06 22:28:08,Celer Network,CELR,0.02,151977646,0.01,7085488367.278,False,11794741,-0.16,-8.29,-11.1,1.01,29.01,9.96
